"filename", "language", "YAML", "Swift", "C++", "HTML", "JSON", "Markdown", "XML", "Dart", "Java Properties", "Groovy", "Kotlin", "comment", "blank", "total"
"d:\montages\flutter projects\Githug Projects\medication_remainder\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"d:\montages\flutter projects\Githug Projects\medication_remainder\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\montages\flutter projects\Githug Projects\medication_remainder\linux\main.cc", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\montages\flutter projects\Githug Projects\medication_remainder\linux\my_application.cc", "C++", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"d:\montages\flutter projects\Githug Projects\medication_remainder\linux\my_application.h", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"d:\montages\flutter projects\Githug Projects\medication_remainder\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 25
"d:\montages\flutter projects\Githug Projects\medication_remainder\macos\Runner\AppDelegate.swift", "Swift", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\montages\flutter projects\Githug Projects\medication_remainder\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 1, 69
"d:\montages\flutter projects\Githug Projects\medication_remainder\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 1, 344
"d:\montages\flutter projects\Githug Projects\medication_remainder\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\montages\flutter projects\Githug Projects\medication_remainder\pubspec.yaml", "YAML", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 72
"d:\montages\flutter projects\Githug Projects\medication_remainder\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 10, 7, 31
"d:\montages\flutter projects\Githug Projects\medication_remainder\web\index.html", "HTML", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 16, 6, 59
"d:\montages\flutter projects\Githug Projects\medication_remainder\web\manifest.json", "JSON", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"d:\montages\flutter projects\Githug Projects\medication_remainder\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 15
"d:\montages\flutter projects\Githug Projects\medication_remainder\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\montages\flutter projects\Githug Projects\medication_remainder\windows\runner\flutter_window.cpp", "C++", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 62
"d:\montages\flutter projects\Githug Projects\medication_remainder\windows\runner\flutter_window.h", "C++", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"d:\montages\flutter projects\Githug Projects\medication_remainder\windows\runner\main.cpp", "C++", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"d:\montages\flutter projects\Githug Projects\medication_remainder\windows\runner\resource.h", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"d:\montages\flutter projects\Githug Projects\medication_remainder\windows\runner\utils.cpp", "C++", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"d:\montages\flutter projects\Githug Projects\medication_remainder\windows\runner\utils.h", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"d:\montages\flutter projects\Githug Projects\medication_remainder\windows\runner\win32_window.cpp", "C++", 0, 0, 183, 0, 0, 0, 0, 0, 0, 0, 0, 15, 48, 246
"d:\montages\flutter projects\Githug Projects\medication_remainder\windows\runner\win32_window.h", "C++", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 59, 50, 502, 37, 249, 13, 476, 3502, 8, 89, 4, 275, 630, 5894
